timestamp,data
10699000,30.0
10700000,36.0
10701000,50.0
10702000,40.0
10703000,45.0
10704000,41.0
10705000,38.0
10706000,42.0
10707000,39.0
10708000,42.0
10709000,42.0
10710000,36.0
10711000,38.0
10712000,29.0
10713000,29.0
10714000,40.0
10715000,34.0
10716000,32.0
10717000,43.0
10718000,32.0
10719000,36.0
10720000,25.0
10721000,42.0
10722000,45.0
10723000,36.0
10724000,30.0
10725000,34.0
10726000,53.0
10727000,43.0
10728000,45.0
10729000,40.0
10730000,39.0
10731000,42.0
10732000,47.0
10733000,43.0
10734000,42.0
10735000,41.0
10736000,47.0
10737000,45.0
10738000,48.0
10739000,58.0
10740000,35.0
10741000,31.0
10742000,36.0
10743000,50.0
10744000,32.0
10745000,34.0
10746000,49.0
10747000,33.0
10748000,44.0
10749000,43.0
10750000,50.0
10751000,30.0
10752000,38.0
10753000,37.0
10754000,47.0
10755000,66.0
10756000,38.0
